ONSConstID,geometry,geometry_vertex_count,ConstituencyName,RegionID,RegionName,CountryID,CountryName,Description
E14000530,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.809122,51.333079 -0.814451,51.324245 -0.828865,51.323119 -0.836353,51.314612 -0.837164,51.305532 -0.823734,51.300002 -0.806846,51.301541 -0.802408,51.292759 -0.797455,51.284287 -0.804743,51.269361 -0.806349,51.255404 -0.804767,51.245066 -0.7855,51.241915 -0.771489,51.238997 -0.759528,51.23399 -0.745558,51.230458 -0.738516,51.24112 -0.735086,51.249879 -0.732665,51.258768 -0.731442,51.267788 -0.733087,51.276762 -0.735556,51.285769 -0.739384,51.294469 -0.741273,51.303443 -0.748368,51.311351 -0.75955,51.317087 -0.765843,51.325273 -0.775483,51.331959 -0.785354,51.338549 -0.804547,51.34164</coordinates></LinearRing></outerBoundaryIs></Polygon>",31,Aldershot,Aldershot,South East,K02000001,UK,Westminster Constituency
E14000531,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-1.979838,52.624 -1.971105,52.616734 -1.968179,52.606979 -1.970252,52.598758 -1.955489,52.599596 -1.942252,52.590914 -1.938314,52.582199 -1.923084,52.581073 -1.910287,52.575236 -1.893248,52.56137 -1.891654,52.562462 -1.879801,52.568887 -1.872571,52.584929 -1.882117,52.591884 -1.891477,52.598902 -1.886868,52.607465 -1.888022,52.616935 -1.896693,52.62425 -1.908537,52.630347 -1.90509,52.643191 -1.918021,52.649879 -1.927517,52.65757 -1.943367,52.656306 -1.954576,52.662625 -1.955409,52.653633 -1.960112,52.644855 -1.986556,52.640393 -1.990862,52.636656</coordinates></LinearRing></outerBoundaryIs></Polygon>",29,Aldridge-Brownhills,Aldridge-Brownhills,West Midlands,K02000001,UK,Westminster Constituency
E14000532,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.463678,53.394466 -2.448629,53.394799 -2.426591,53.387445 -2.406356,53.379424 -2.394972,53.373531 -2.380745,53.369801 -2.368584,53.364473 -2.354752,53.368335 -2.339463,53.367154 -2.328399,53.360534 -2.313999,53.357408 -2.294002,53.367954 -2.286324,53.375824 -2.296886,53.38269 -2.300104,53.391585 -2.308877,53.399265 -2.316691,53.408058 -2.331702,53.408648 -2.334173,53.417624 -2.325265,53.425593 -2.315987,53.434696 -2.33155,53.434768 -2.346713,53.434728 -2.352834,53.42642 -2.36182,53.418814 -2.37585,53.415494 -2.391779,53.415023 -2.406873,53.414541 -2.420263,53.410406 -2.435407,53.410513 -2.453682,53.413196 -2.465602,53.400989 -2.478455,53.396202</coordinates></LinearRing></outerBoundaryIs></Polygon>",34,Altrincham and Sale West,Altrincham and Sale West,North West,K02000001,UK,Westminster Constituency
E14000533,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-1.469309,53.101944 -1.466031,53.093031 -1.459413,53.084774 -1.469253,53.078006 -1.477294,53.0699 -1.488358,53.063654 -1.481703,53.047452 -1.465893,53.042818 -1.451832,53.039571 -1.446071,53.03092 -1.450626,53.0223 -1.461401,53.015365 -1.463177,53.006194 -1.467916,52.997426 -1.463961,52.987967 -1.453987,52.981117 -1.438789,52.979009 -1.4205,52.981032 -1.406202,52.978173 -1.392204,52.981795 -1.37938,52.976891 -1.364177,52.976944 -1.349329,52.978004 -1.332796,52.978123 -1.32414,52.988741 -1.3179,52.997031 -1.307447,53.003636 -1.307989,53.003854 -1.319051,53.012818 -1.322701,53.021573 -1.332623,53.037802 -1.334554,53.046833 -1.336976,53.055913 -1.344494,53.063766 -1.338217,53.07289 -1.331638,53.080969 -1.343669,53.086564 -1.358184,53.089157 -1.366317,53.096848 -1.373189,53.104906 -1.387922,53.10649 -1.402898,53.107289 -1.418074,53.106012 -1.433006,53.105479 -1.447738,53.10368 -1.465371,53.110782</coordinates></LinearRing></outerBoundaryIs></Polygon>",47,Amber Valley,Amber Valley,East Midlands,K02000001,UK,Westminster Constituency
E14000534,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.700999,50.967981 -0.701815,50.958458 -0.701913,50.949423 -0.705998,50.940341 -0.692087,50.938064 -0.681437,50.930967 -0.667602,50.928243 -0.656024,50.921703 -0.651544,50.913055 -0.654934,50.904273 -0.657985,50.895415 -0.652808,50.886436 -0.652254,50.877328 -0.650923,50.868113 -0.664962,50.865232 -0.679513,50.86353 -0.685542,50.855264 -0.690957,50.846566 -0.692982,50.837596 -0.686628,50.821128 -0.674453,50.816459 -0.66622,50.808925 -0.652342,50.810949 -0.640573,50.816099 -0.630963,50.822731 -0.620126,50.828756 -0.60637,50.831131 -0.591484,50.831586 -0.576551,50.831743 -0.563592,50.827965 -0.549464,50.829533 -0.535123,50.830599 -0.515155,50.822767 -0.502062,50.818123 -0.488011,50.816402 -0.473706,50.8172 -0.460159,50.81421 -0.455626,50.822782 -0.460219,50.836928 -0.438569,50.840683 -0.424007,50.840071 -0.422458,50.849547 -0.418543,50.858437 -0.405466,50.854627 -0.392482,50.859662 -0.378986,50.862696 -0.371497,50.870339 -0.356786,50.870225 -0.345775,50.863914 -0.331609,50.86307 -0.317308,50.864885 -0.302885,50.866141 -0.28905,50.86404 -0.273694,50.863576 -0.259246,50.862162 -0.258962,50.871214 -0.244998,50.863815 -0.237578,50.871796 -0.226747,50.878187 -0.214273,50.873731 -0.187762,50.868577 -0.182924,50.879329 -0.18245,50.888331 -0.166797,50.88947 -0.1614,50.880927 -0.149688,50.886058 -0.135038,50.88664 -0.132027,50.89608 -0.13077,50.905455 -0.129566,50.914449 -0.12592,50.923365 -0.120073,50.932101 -0.120003,50.941704 -0.141835,50.942947 -0.151987,50.949474 -0.158313,50.957594 -0.156492,50.966776 -0.161042,50.975446 -0.170305,50.98236 -0.177348,50.974193 -0.188518,50.968279 -0.199652,50.962408 -0.212406,50.958388 -0.223121,50.951577 -0.215206,50.943992 -0.201516,50.947162 -0.195079,50.938921 -0.195385,50.929047 -0.201766,50.920387 -0.212349,50.914369 -0.226722,50.913797 -0.229397,50.922657 -0.230046,50.931842 -0.228176,50.940886 -0.234254,50.949209 -0.240825,50.957747 -0.241312,50.966837 -0.23861,50.976107 -0.232091,50.984185 -0.23627,50.992869 -0.234796,51.001948 -0.232139,51.010903 -0.245526,51.014136 -0.261846,51.005494 -0.271533,51.012152 -0.28541,51.009985 -0.29528,51.003193 -0.308252,50.999421 -0.322035,51.00187 -0.336246,51.000804 -0.340723,50.992152 -0.34228,50.983165 -0.348383,50.97424 -0.362124,50.97662 -0.372322,50.970269 -0.377876,50.961724 -0.372695,50.953205 -0.374736,50.944259 -0.389061,50.945573 -0.394654,50.954448 -0.397675,50.96332 -0.402879,50.971693 -0.411505,50.979284 -0.407965,50.988342 -0.418886,50.99458 -0.423985,51.003148 -0.434251,50.996702 -0.4465,50.992072 -0.459902,50.996377 -0.474543,50.99469 -0.488733,50.996101 -0.503022,50.995954 -0.517407,50.9977 -0.510789,51.005885 -0.498612,51.010557 -0.486676,51.01555 -0.477121,51.022255 -0.476175,51.031343 -0.483129,51.039376 -0.480036,51.048275 -0.497457,51.046436 -0.509703,51.041438 -0.52446,51.03814 -0.535396,51.044163 -0.546138,51.050529 -0.559237,51.054403 -0.573378,51.053001 -0.587408,51.054734 -0.601659,51.053547 -0.608686,51.045676 -0.622753,51.043934 -0.631802,51.036882 -0.639268,51.029117 -0.632852,51.020793 -0.647211,51.019129 -0.657725,51.012694 -0.659542,51.003773 -0.670217,50.997689 -0.671867,50.988717 -0.66331,50.981511 -0.657038,50.97323 -0.66203,50.964514 -0.670378,50.971845 -0.673015,50.980832 -0.687294,50.982727 -0.699321,50.976993</coordinates></LinearRing></outerBoundaryIs></Polygon>",167,Arundel and South Downs,Arundel and South Downs,South East,K02000001,UK,Westminster Constituency
E14000535,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-1.338217,53.07289 -1.344494,53.063766 -1.336976,53.055913 -1.334554,53.046833 -1.332623,53.037802 -1.322701,53.021573 -1.319051,53.012818 -1.307989,53.003854 -1.294236,53.008953 -1.290701,53.017765 -1.279635,53.026466 -1.270529,53.033755 -1.251257,53.03801 -1.241721,53.047756 -1.228566,53.052031 -1.230976,53.06113 -1.22841,53.070055 -1.226228,53.079101 -1.214562,53.084785 -1.200685,53.088761 -1.191516,53.096389 -1.17819,53.100952 -1.168145,53.107835 -1.177894,53.114792 -1.199531,53.121688 -1.212217,53.12646 -1.224606,53.131613 -1.23539,53.137909 -1.237376,53.146973 -1.248327,53.153275 -1.259927,53.164461 -1.27358,53.168155 -1.28807,53.170717 -1.300837,53.165791 -1.316009,53.165211 -1.325031,53.15801 -1.322299,53.148582 -1.318851,53.139792 -1.321782,53.130631 -1.313561,53.122986 -1.310235,53.113694 -1.305631,53.105073 -1.308979,53.096244 -1.304284,53.087602 -1.331638,53.080969</coordinates></LinearRing></outerBoundaryIs></Polygon>",46,Ashfield,Ashfield,East Midlands,K02000001,UK,Westminster Constituency
E14000536,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.625804,51.138364 0.614453,51.132861 0.608812,51.124563 0.603327,51.116074 0.590821,51.111481 0.5955,51.102841 0.594668,51.093771 0.608452,51.090825 0.62285,51.090601 0.635818,51.086642 0.64468,51.077891 0.6298,51.068524 0.616653,51.064878 0.607091,51.058094 0.600361,51.04975 0.59347,51.041854 0.59829,51.029687 0.598839,51.020681 0.605361,51.012073 0.623347,51.015841 0.636344,51.012054 0.649794,51.015182 0.663892,51.016643 0.671805,51.008891 0.680929,51.00154 0.694975,50.998898 0.706739,50.993605 0.721111,50.999465 0.73563,51.000538 0.750416,50.997419 0.764043,50.994315 0.778923,50.989494 0.785736,50.997996 0.792718,51.005975 0.800606,51.01493 0.807742,51.023104 0.816147,51.032656 0.826588,51.04454 0.840083,51.038942 0.851026,51.03264 0.855392,51.041275 0.869174,51.043963 0.872658,51.052803 0.863227,51.059573 0.866921,51.068501 0.863303,51.07775 0.854581,51.085014 0.844897,51.091633 0.854206,51.098633 0.868537,51.099519 0.883125,51.100385 0.894448,51.09459 0.909893,51.095345 0.923977,51.097415 0.935299,51.102927 0.933192,51.1119 0.940414,51.119984 0.946922,51.128508 0.944616,51.137488 0.939986,51.146423 0.938601,51.155645 0.941693,51.164469 0.955091,51.167661 0.965588,51.161461 0.977216,51.155886 0.98325,51.164047 0.981614,51.173024 0.968465,51.176903 0.982304,51.179853 1.003939,51.180051 0.992795,51.186072 0.999959,51.194323 1.003389,51.203268 1.003553,51.212284 0.997316,51.220623 0.991054,51.228891 0.986428,51.237833 0.991462,51.246363 0.990226,51.255631 0.97387,51.267059 0.973249,51.268592 0.958121,51.268502 0.950091,51.260792 0.941665,51.253388 0.92957,51.258523 0.919621,51.251241 0.905291,51.250184 0.891661,51.247104 0.880961,51.240861 0.866709,51.239631 0.859983,51.231612 0.846091,51.234264 0.831498,51.230798 0.821078,51.224429 0.807478,51.22804 0.791948,51.230659 0.785885,51.239127 0.777599,51.231566 0.767096,51.225166 0.755868,51.219575 0.743833,51.212987 0.730868,51.20906 0.716946,51.211201 0.709994,51.203016 0.699143,51.196736 0.686173,51.192251 0.684445,51.182982 0.675911,51.175754 0.666019,51.168747 0.658933,51.160814 0.649395,51.153951 0.639444,51.141295</coordinates></LinearRing></outerBoundaryIs></Polygon>",113,Ashford,Ashford,South East,K02000001,UK,Westminster Constituency
E14000537,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.173496,53.511404 -2.172274,53.502215 -2.164011,53.494071 -2.169137,53.485586 -2.16503,53.476921 -2.150474,53.472571 -2.140555,53.479552 -2.129038,53.485411 -2.120845,53.477854 -2.112728,53.470233 -2.103239,53.477313 -2.093959,53.484449 -2.074903,53.480737 -2.066912,53.497671 -2.057209,53.504689 -2.062353,53.513296 -2.061846,53.522364 -2.076881,53.520303 -2.092124,53.520598 -2.099657,53.512697 -2.119686,53.505711 -2.134806,53.511179 -2.141988,53.519084 -2.156231,53.5158</coordinates></LinearRing></outerBoundaryIs></Polygon>",25,Ashton-under-Lyne,Ashton-under-Lyne,North West,K02000001,UK,Westminster Constituency
E14000538,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.896668,51.722423 -0.887674,51.715372 -0.88763,51.706283 -0.890775,51.69728 -0.890146,51.688223 -0.882335,51.680592 -0.893362,51.674744 -0.883584,51.667765 -0.897533,51.670162 -0.912085,51.673471 -0.923774,51.667734 -0.924377,51.658517 -0.93634,51.653457 -0.950747,51.650738 -0.941143,51.643927 -0.93542,51.635654 -0.91726,51.629923 -0.911572,51.638583 -0.896628,51.63748 -0.879994,51.635192 -0.866559,51.631273 -0.851871,51.633329 -0.846922,51.642051 -0.842278,51.650667 -0.829509,51.655056 -0.815006,51.653887 -0.802105,51.659038 -0.789396,51.663642 -0.776168,51.659002 -0.763285,51.654866 -0.755577,51.646462 -0.741025,51.647336 -0.727326,51.650684 -0.720377,51.658968 -0.706886,51.662456 -0.715595,51.669693 -0.727612,51.675297 -0.736209,51.682931 -0.748689,51.687562 -0.758239,51.694463 -0.759524,51.703481 -0.745372,51.705544 -0.738588,51.713665 -0.726432,51.719118 -0.713545,51.723339 -0.716614,51.732201 -0.719879,51.74101 -0.721827,51.750089 -0.707031,51.750174 -0.692351,51.750807 -0.690552,51.759843 -0.673495,51.768465 -0.677513,51.780937 -0.684119,51.789008 -0.683491,51.798084 -0.69234,51.805577 -0.70016,51.813177 -0.710336,51.820001 -0.724981,51.818687 -0.731786,51.826777 -0.739135,51.834746 -0.741704,51.825841 -0.753566,51.819744 -0.766185,51.814942 -0.780734,51.817062 -0.79076,51.824065 -0.799166,51.831417 -0.806206,51.839806 -0.815366,51.832628 -0.829358,51.835091 -0.829572,51.844353 -0.832272,51.853226 -0.845383,51.849353 -0.855264,51.855996 -0.866555,51.861818 -0.879794,51.858008 -0.871615,51.850578 -0.870128,51.841569 -0.862444,51.83371 -0.863596,51.824692 -0.851425,51.819783 -0.840919,51.813289 -0.830671,51.806851 -0.8249,51.798149 -0.817587,51.790269 -0.809091,51.782628 -0.795394,51.778853 -0.786104,51.771831 -0.771844,51.774344 -0.766632,51.765875 -0.763477,51.756928 -0.761494,51.747985 -0.75331,51.740521 -0.763638,51.733357 -0.767886,51.724679 -0.78243,51.72404 -0.796909,51.722436 -0.809992,51.72667 -0.820288,51.720324 -0.827265,51.712074 -0.841778,51.71214 -0.854057,51.717657 -0.864848,51.72461 -0.873413,51.731987 -0.885214,51.737582 -0.90405,51.731991</coordinates></LinearRing></outerBoundaryIs></Polygon>",107,Aylesbury,Aylesbury,South East,K02000001,UK,Westminster Constituency
E14000539,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-1.516115,51.988591 -1.502582,51.984425 -1.495393,51.976254 -1.480795,51.976106 -1.466484,51.9788 -1.451917,51.981104 -1.439623,51.986343 -1.424498,51.986624 -1.41532,51.979259 -1.400677,51.979635 -1.385767,51.980424 -1.373782,51.975267 -1.364963,51.967454 -1.361814,51.958634 -1.361555,51.949265 -1.348196,51.945633 -1.334888,51.941979 -1.330268,51.932847 -1.325174,51.924113 -1.311471,51.920755 -1.300948,51.914111 -1.301491,51.899483 -1.277294,51.904445 -1.262116,51.902098 -1.248575,51.898542 -1.243875,51.889562 -1.2333,51.883202 -1.217632,51.884396 -1.202357,51.882273 -1.20038,51.873338 -1.201232,51.864353 -1.193617,51.856592 -1.179208,51.855217 -1.17282,51.863329 -1.169428,51.872146 -1.159625,51.878929 -1.148712,51.872562 -1.136467,51.867223 -1.134923,51.858175 -1.13555,51.849172 -1.125191,51.84207 -1.110226,51.841383 -1.097016,51.837255 -1.0857,51.831194 -1.071628,51.833937 -1.057516,51.836155 -1.062029,51.844821 -1.06373,51.853964 -1.065381,51.86311 -1.067719,51.872765 -1.072405,51.881283 -1.077704,51.889704 -1.09141,51.893141 -1.085527,51.9016 -1.083384,51.910702 -1.085062,51.919861 -1.077942,51.927733 -1.068016,51.93434 -1.057832,51.94078 -1.070135,51.945833 -1.082282,51.951225 -1.093613,51.956918 -1.088487,51.965498 -1.081578,51.973577 -1.076849,51.982122 -1.067801,51.990105 -1.059321,51.997596 -1.058454,52.006715 -1.073176,52.006482 -1.087819,52.005745 -1.094394,52.013942 -1.118104,52.015415 -1.131354,52.004399 -1.141251,51.997515 -1.154356,51.99338 -1.167797,51.989867 -1.175847,51.982189 -1.190565,51.981508 -1.204341,51.978483 -1.21862,51.980301 -1.24036,51.985465 -1.254444,51.982709 -1.26901,51.982759 -1.282744,51.979218 -1.287406,51.987786 -1.282464,51.996264 -1.277566,52.004746 -1.278515,52.013802 -1.284182,52.022178 -1.294073,52.028859 -1.294545,52.037956 -1.302027,52.045798 -1.311981,52.05256 -1.308781,52.061565 -1.3002,52.069003 -1.297541,52.07793 -1.312262,52.079825 -1.32118,52.087008 -1.307978,52.092262 -1.293365,52.093256 -1.278812,52.095311 -1.264561,52.097336 -1.249972,52.095852 -1.254533,52.104742 -1.265338,52.111016 -1.276845,52.117064 -1.285249,52.124877 -1.29364,52.132574 -1.303091,52.140174 -1.310824,52.147831 -1.318283,52.155797 -1.331911,52.168471 -1.338338,52.158615 -1.342253,52.149771 -1.34995,52.141579 -1.360656,52.135297 -1.374282,52.131417 -1.386793,52.126332 -1.386393,52.117202 -1.371776,52.117619 -1.364692,52.109713 -1.359581,52.101261 -1.374438,52.099714 -1.389194,52.098285 -1.400534,52.104927 -1.409291,52.112125 -1.420759,52.117805 -1.435284,52.116704 -1.44977,52.115518 -1.448555,52.106525 -1.449059,52.097437 -1.463665,52.097428 -1.477117,52.101353 -1.487925,52.092612 -1.490908,52.083666 -1.493507,52.074795 -1.50211,52.067447 -1.497366,52.058942 -1.501466,52.050278 -1.504957,52.041428 -1.508159,52.03184 -1.510606,52.022824 -1.515706,52.01424 -1.521217,52.005769 -1.52284,51.996833</coordinates></LinearRing></outerBoundaryIs></Polygon>",146,Banbury,Banbury,South East,K02000001,UK,Westminster Constituency
